72431	19
72427	29
72427	21
72425	28
72433	28
72433	23
72427	28
72424	24
72424	24
72425	21
72424	28
72425	29
72426	21
72424	24
72423	24
72423	28
72423	28
72423	24
72423	24
72425	21
72422	23
72422	29
72424	28
72428	21
72424	24
72423	28
72435	28
72429	28
72425	28
72429	21
72430	28
72426	29
72429	24
72425	28
72428	28
72429	28
72425	28
72447	24
72440	28
72452	25
72447	28
72445	30
72443	28
72445	28
72443	28
72445	24
72461	28
72440	27
72433	28
72432	24
72425	22
72432	21
72421	18
72421	24
72420	28
72432	25
72425	28
72423	24
72424	28
72423	25
72421	28
72420	29
72420	28
72431	28
72431	24
72430	28
72424	28
72423	23
72427	21
72435	24
72430	28
72424	24
72423	28
72421	24
72421	28
72421	28
72432	24
72427	24
72425	28
72422	22
72421	28
72420	24
72420	28
72426	28
72423	19
72423	28
72426	24
72424	21
72433	28
72429	25
72428	23
72424	29
72421	28
72421	28
72420	24
72426	29
72426	28
72425	24
72425	24
72422	25
72421	28
72420	29
72420	21
72426	24
72423	24
72424	28
72426	22
72433	28
72433	28
72430	22
72425	28
72425	21
72421	24
72421	24
72421	21
72426	21
72427	24
72427	28
72424	28
72423	24
72421	28
72420	29
72421	28
72431	24
72426	24
72424	24
72425	28
72429	28
72432	28
72428	25
72430	28
72426	29
72421	24
72421	24
72421	28
72426	24
72425	28
72423	19
72426	28
72422	25
72421	28
72421	29
72420	28
72431	25
72425	24
72423	28
72425	23
72424	28
72437	28
72428	21
72427	24
72425	29
72421	21
72421	28
72421	21
72429	28
72435	28
72428	28
72425	24
72423	25
72421	28
72421	29
72420	28
72427	28
72425	24
72424	24
72427	21
72426	28
72435	28
72430	25
72424	24
72423	26
72421	28
72421	28
72421	24
72427	21
72428	21
72425	21
72428	28
72422	21
72421	23
72421	29
72421	28
72427	23
72424	28
72423	28
72427	28
72424	21
72434	28
72428	25
72425	28
72423	26
72421	28
72421	24
72421	23
72426	28
72426	29
72424	24
72425	28
72423	25
72421	28
72421	29
72421	28
72426	24
72424	24
72425	24
72426	28
72425	24
72434	28
72429	25
72435	19
72427	29
72421	28
72421	28
72421	28
72430	21
72433	28
72427	28
72423	28
72422	28
72421	28
72421	24
72421	28
72430	23
72424	24
72424	24
72426	28
72426	28
72434	28
72429	25
72431	28
72425	29
72421	28
72421	28
72421	28
72426	24
72426	28
72424	23
72424	24
72422	28
72421	21
72421	24
72421	27
72435	28
72428	28
72424	24
72426	28
72425	24
72434	28
72432	25
72424	28
72424	26
72421	28
72421	24
72421	21
72431	28
72427	28
72425	24
72423	28
72422	25
72421	24
72421	29
72421	28
72428	24
72424	28
72423	25
72424	26
72425	28
72433	28
72429	25
72425	24
72424	29
72421	24
72421	28
72421	28
72427	23
72428	24
72426	28
72428	28
72423	25
72421	28
72421	24
72421	28
72427	24
72425	24
72423	28
72426	24
72426	21
72428	28
72434	25
72426	28
72424	29
72423	28
72421	28
72421	28
72421	21
72426	28
72426	29
72427	28
72422	21
72421	28
72421	29
72421	28
72427	24
72424	21
72425	28
72423	28
72427	24
72433	28
72431	25
72424	28
72423	21
72422	21
72421	24
72421	28
72427	24
72423	28
72430	24
72425	28
72422	28
72421	28
72421	29
72421	24
72426	28
72424	24
72423	24
72423	28
72428	21
72434	28
72432	25
72431	23
72425	23
72421	28
72421	28
72421	28
72426	24
72424	28
72426	21
72425	28
72422	25
72421	24
72421	29
72421	28
72429	28
72425	21
72423	24
72424	28
72426	21
72434	28
72431	25
72424	28
72424	26
72421	24
72421	28
72421	28
72429	28
72425	24
72426	28
72424	28
72423	25
72421	23
72421	29
72420	28
72428	28
72424	21
72423	24
72423	24
72435	28
72434	28
72429	25
72424	28
72424	26
72421	24
72421	28
72421	28
72429	29
72424	24
72427	24
72424	28
72423	28
72421	28
72421	29
72421	28
72433	28
72425	18
72423	28
72426	28
72426	28
72434	23
72433	25
72424	21
72424	24
72421	18
72421	28
72421	28
72426	28
72425	24
72427	28
72425	18
72423	25
72421	28
72421	29
72421	28
72429	28
72424	28
72426	24
72424	24
72433	28
72434	28
72430	25
72427	23
72425	29
72421	28
72421	28
72421	28
72428	29
72424	24
72431	28
72426	28
72422	22
72421	28
72421	29
72421	28
72427	28
72424	28
72423	24
72423	28
72427	28
72433	28
72430	25
72430	24
72425	23
72422	28
72421	28
72421	28
72430	28
72425	24
72426	21
72424	24
72422	25
72421	28
72421	29
72421	27
72429	24
72424	28
72424	28
72425	28
72429	27
72435	28
72430	25
72425	24
72424	26
72421	28
72421	28
72421	28
72430	28
72425	28
72426	28
72425	21
72423	22
72421	28
72421	29
72420	23
72429	28
72425	28
72424	25
72424	28
72426	28
72434	28
72429	25
72425	24
72424	21
72421	28
72421	28
72421	28
72426	28
72424	24
72427	24
72424	24
72422	25
