37451	71110	33659
37451	67269	29818
37451	67268	29817
37451	67270	29819
37451	71110	33659
37451	67276	29825
37451	67388	29937
37451	67268	29817
37451	71108	33657
37451	66396	28945
37451	67268	29817
37451	70738	33287
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	71114	33663
37451	67267	29816
37451	66393	28942
37451	70736	33285
37451	67267	29816
37451	67268	29817
37451	67267	29816
37451	66401	28950
37451	67268	29817
37451	67267	29816
37451	67268	29817
37451	67267	29816
37451	67267	29816
37451	66397	28946
37451	67268	29817
37451	67267	29816
37451	70734	33283
37451	67267	29816
37451	67271	29820
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	67269	29818
37451	71110	33659
37451	67388	29937
37451	67268	29817
37451	67272	29821
37451	67267	29816
37451	67265	29814
37451	71109	33658
37451	67267	29816
37451	67268	29817
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	67268	29817
37451	70739	33288
37451	67269	29818
37451	67268	29817
37451	67267	29816
37451	67267	29816
37451	67270	29819
37451	67267	29816
37451	67388	29937
37451	70734	33283
37451	67269	29818
37451	67272	29821
37451	70735	33284
37451	67268	29817
37451	67268	29817
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	71110	33659
37451	69867	32416
37451	67267	29816
37451	71110	33659
37451	71116	33665
37451	66393	28942
37451	67388	29937
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	76398	38947
37451	67267	29816
37451	67267	29816
37451	66768	29317
37451	67269	29818
37451	67267	29816
37451	67267	29816
37451	71297	33846
37451	67280	29829
37451	67270	29819
37451	67268	29817
37451	67268	29817
37451	67269	29818
37451	67270	29819
37451	70737	33286
37451	66394	28943
37451	67389	29938
37451	71110	33659
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	67267	29816
37451	69975	32524
37451	66395	28944
37451	67269	29818
37451	67267	29816
37451	67267	29816
37451	67268	29817
37451	67270	29819
37451	70733	33282
37451	67267	29816
37451	67267	29816
